date,bitcoin,bitcoin_cash,ethereum,litecoin,ripple
9/12/2014,380.975,440.127,,3.59722,0.0132423
29/7/2015,288.697,661.067,,4.66191,0.0083846
18/3/2016,418.595,527.867,12.5105,3.30156,0.0082537
29/3/2014,634.47,,,19.2724,0.0136943
6/3/2015,246.098,292.313,,1.95695,0.0121217
25/3/2017,981.718,315.251,47.579,4.06986,0.01044
25/11/2014,383.823,404.319,,3.62845,0.00605594
17/7/2013,89.489,,,2.58748,
6/10/2015,238.467,607.274,0.665442,3.03047,0.00525281
18/11/2013,205.02,,,3.03873,0.00618308
3/9/2014,511.836,395.316,,5.21873,0.00503996
19/1/2016,387.313,560.216,1.41144,3.04443,0.00531265
2/3/2017,1205.33,336.175,15.8035,3.79727,0.00559294
8/4/2015,255.069,310.077,,1.68761,0.00881192
30/1/2017,922.58,357.711,10.4995,3.85623,0.00641063
31/8/2013,108.65,,,2.81783,0.0042276
14/5/2015,240.507,296.666,,1.44603,0.00733881
5/12/2014,363.23,476.07,,3.57079,0.0129186
19/7/2016,679.776,466.177,11.5093,4.15769,0.00650566
13/10/2016,640.19,454.586,11.9889,3.75946,0.00793968
31/10/2014,359.324,338.603,,3.72703,0.00455016
7/4/2015,253.183,307.344,,1.67759,0.00876433
27/11/2013,361.3,,,4.34478,0.00837478
25/7/2013,77.0,,,2.82094,
13/12/2014,374.454,425.926,,3.68579,0.0134406
4/5/2014,498.687,,,12.3855,0.00589954
15/4/2016,424.552,486.768,8.74375,3.23967,0.00570486
17/8/2014,589.511,525.734,,5.6091,0.00518787
26/12/2014,328.891,270.872,,2.88046,0.0249426
8/6/2015,224.567,506.585,,1.76379,0.00791938
19/10/2017,5670.57,450.424,308.97,58.9527,0.21609
17/11/2013,207.12,,,3.08881,0.00599734
3/2/2014,865.46,,,23.5596,0.0199726
21/6/2015,248.938,914.451,,2.81772,0.0110952
9/2/2016,377.151,645.157,3.01396,3.08267,0.00842046
27/11/2015,325.344,625.49,0.87085,3.61249,0.00431633
8/9/2017,4171.88,334.153,299.543,68.7801,0.209209
4/11/2013,173.14,,,1.71588,0.00776709
17/6/2013,129.09,,,2.7273,
6/1/2017,1032.94,356.591,9.92636,4.29612,0.00622847
3/3/2017,1228.26,331.124,18.7632,3.90894,0.00609866
14/6/2014,657.145,,,11.2394,0.00380739
10/2/2017,983.114,355.019,10.779,3.80304,0.00625386
23/12/2015,436.033,602.268,0.895223,3.43237,0.00624652
2/7/2013,100.42,,,2.26624,
8/1/2014,654.72,,,25.1989,0.0243375
29/12/2016,960.528,357.857,7.11536,4.56155,0.0061831
15/5/2014,440.957,,,9.91287,0.00519605
26/9/2013,123.44,,,2.66591,0.00614238
9/6/2013,131.7,,,3.2562,
